Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Publication Date
1,1.0,41,1,Tianhe-2 (MilkyWay-2),"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P",National Super Computer Center in Guangzhou,NUDT,China,2013,Research,3120000,2736000,33862700.0,54902400.0,9960000,0,17808.0,1901.54,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Eastern Asia,Asia,06/2014
2,2.0,40,1,Titan,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",DOE/SC/Oak Ridge National Laboratory,Cray Inc.,United States,2012,Research,560640,261632,17590000.0,27112550.0,0,0,8209.0,2142.77,MPP,Opteron 6274 16C 2.2GHz,AMD x86_64,2200,Cray Linux Environment ,Linux,NVIDIA K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7 ,Cray XK,Cray Interconnect,Cray Gemini interconnect,North America,Americas,06/2014
3,3.0,38,17,Sequoia,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",DOE/NNSA/LLNL,IBM,United States,2011,Research,1572864,0,17173224.0,20132659.2,0,0,7890.0,2176.58,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas,06/2014
4,4.0,37,1,,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",RIKEN Advanced Institute for Computational Science (AICS),Fujitsu,Japan,2011,Research,705024,0,10510000.0,11280384.0,11870208,0,12659.89,830.18,Cluster,SPARC64 VIIIfx 8C 2GHz,Sparc,2000,Linux,Linux,,8,SPARC64 VIIIfx,K computer,Fujitsu Cluster,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia,06/2014
5,5.0,39,3,Mira,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,IBM,United States,2012,Research,786432,0,8586612.0,10066330.0,0,0,3945.0,2176.58,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas,06/2014
6,6.0,40,114,Piz Daint,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x",Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,2012,Research,115984,73808,6271000.0,7788852.8,4128768,0,2325.0,2697.2,MPP,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Cray Linux Environment ,Linux,NVIDIA K20x,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe,06/2014
7,7.0,40,7,Stampede,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P",Texas Advanced Computing Center/Univ. of Texas,Dell,United States,2012,Academic,462462,366366,5168110.0,8520111.6,3875000,0,4510.0,1145.92,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Linux,Linux,Intel Xeon Phi SE10P,8,Intel Xeon E5 (SandyBridge),PowerEdge C8220,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas,06/2014
8,8.0,39,8,JUQUEEN,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Forschungszentrum Juelich (FZJ),IBM,Germany,2012,Research,458752,0,5008857.0,5872025.6,0,0,2301.0,2176.82,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe,06/2014
9,9.0,39,48,Vulcan,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",DOE/NNSA/LLNL,IBM,United States,2012,Research,393216,0,4293306.0,5033165.0,0,0,1972.0,2177.13,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas,06/2014
10,,43,10,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",Government,Cray Inc.,United States,2014,Government,225984,0,3143520.0,4881254.4,2541684,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,06/2014
11,,43,11,HPC2,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Exploration & Production - Eni S.p.A.,IBM,Italy,2014,Industry,62640,36540,3003000.0,4006350.0,3838464,0,1067.49,2813.14,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe,06/2014
12,10.0,39,4,SuperMUC,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",Leibniz Rechenzentrum,IBM,Germany,2012,Academic,147456,0,2897000.0,3185050.0,5201920,0,3422.67,846.42,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe,06/2014
13,11.0,42,11,TSUBAME 2.5,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology",NEC/HP,Japan,2013,Academic,76032,59136,2785000.0,5735685.12,1700000,0,1398.61,1991.26,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,SUSE Linux Enterprise Server 11,Linux,NVIDIA K20x,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2014
14,12.0,36,1,Tianhe-1A,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",National Supercomputing Center in Tianjin,NUDT,China,2010,Research,186368,100352,2566000.0,4701000.0,3600000,1000000,4040.0,635.15,MPP,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia,06/2014
15,13.0,42,13,cascade,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",DOE/SC/Pacific Northwest National Laboratory,Atipa Technology,United States,2013,Research,194616,171720,2539130.0,3388032.0,4032000,0,1384.0,1834.63,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Atipa Visione IF442 Blade Server,Atipa Cluster,Infiniband,Infiniband FDR,North America,Americas,06/2014
16,14.0,41,11,Pangea,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Total Exploration Production,SGI,France,2013,Industry,110400,0,2098090.0,2296320.0,3862528,0,2118.0,990.6,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Western Europe,Europe,06/2014
17,15.0,39,7,Fermi,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CINECA,IBM,Italy,2012,Academic,163840,0,1788878.0,2097152.0,0,0,821.88,2176.57,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Southern Europe,Europe,06/2014
18,,43,18,Edison,"Cray XC30, Intel Xeon E5-2695v2 12C 2.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2014,Research,133824,0,1654702.0,2569420.8,0,0,,,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,06/2014
19,,43,19,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2014,Research,83160,0,1552000.0,1796256.0,4307352,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,06/2014
20,,43,20,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2014,Research,83160,0,1552000.0,1796256.0,4307352,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,06/2014
21,16.0,37,7,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2  2.6/2.8GHz, Infiniband FDR",NASA/Ames Research Center/NAS,SGI,United States,2011,Research,96192,0,1541290.0,2107000.0,3694336,0,2015.14,764.86,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,Linux,,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas,06/2014
22,17.0,42,17,,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Development Engineering,IBM,United States,2013,Vendor,63360,0,1515000.0,1944391.68,2280960,0,3575.63,423.7,MPP,POWER7 8C 3.84GHz,Power,3836,Linux,Linux,,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas,06/2014
23,23.0,39,13,Blue Joule,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,131072,0,1431102.0,1677722.0,0,0,657.0,2178.24,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe,06/2014
24,18.0,40,69,Spirit,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Air Force Research Laboratory,SGI,United States,2012,Government,73584,0,1415470.0,1530547.2,3128832,0,1606.0,881.36,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Redhat Enterprise Linux 6,Linux,,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas,06/2014
25,19.0,42,19,ARCHER,"Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnect ",EPSRC/University of Edinburgh,Cray Inc.,United Kingdom,2013,Research,76192,0,1367550.0,1645747.0,3369576,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,06/2014
26,20.0,39,9,Curie thin nodes,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,Bull SA,France,2012,Research,77184,0,1359000.0,1667174.0,5757528,0,2251.0,603.73,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe,06/2014
27,31.0,42,31,,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR",Max-Planck-Gesellschaft MPI/IPP,IBM,Germany,2013,Research,65320,0,1283311.9,1463168.0,0,0,1260.0,1018.5,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe,06/2014
28,21.0,35,2,Nebulae,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",National Supercomputing Centre in Shenzhen (NSCS),Dawning,China,2010,Research,120640,64960,1271000.0,2984300.0,2359296,0,2580.0,492.64,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Dawning TC3600 Blade System,Dawning Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2014
29,22.0,40,13,Yellowstone,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",NCAR (National Center for Atmospheric Research),IBM,United States,2012,Research,72288,0,1257615.0,1503590.0,0,0,1436.72,875.34,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas,06/2014
30,24.0,38,28,Helios,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration",Bull SA,Japan,2011,Academic,70560,0,1237000.0,1524096.0,4870152,0,2200.0,562.27,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2014
31,25.0,36,44,Garnet,"Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect",ERDC DSRC,Cray Inc.,United States,2010,Research,150528,0,1167000.0,1505280.0,5685504,0,,,MPP,Opteron 16C 2.5GHz,AMD x86_64,2500,Linux,Linux,,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas,06/2014
32,26.0,37,6,Cielo,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom",DOE/NNSA/LANL/SNL,Cray Inc.,United States,2011,Research,142272,0,1110000.0,1365811.2,4389336,0,3980.0,278.89,MPP,Opteron 6136 8C 2.4GHz,AMD x86_64,2400,Linux,Linux,,8,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas,06/2014
33,27.0,39,20,DiRAC,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",University of Edinburgh,IBM,United Kingdom,2012,Academic,98304,0,1073327.0,1258291.0,0,0,493.12,2176.6,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe,06/2014
34,28.0,36,5,Hopper,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2010,Research,153408,0,1054000.0,1288627.2,4537344,0,2910.0,362.2,MPP,Opteron 6172 12C 2.1GHz,AMD x86_64,2100,Linux,Linux,,12,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas,06/2014
35,29.0,36,6,Tera-100,Bull bullx super-node S6010/S6030,Commissariat a l'Energie Atomique (CEA),Bull SA,France,2010,Research,138368,0,1050000.0,1254550.0,4926336,0,4590.0,228.76,Cluster,Xeon X7560 8C 2.26GHz,Intel Nehalem,2260,Linux,Linux,,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010/S6030,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe,06/2014
36,30.0,39,18,Oakleaf-FX,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2012,Academic,76800,0,1043000.0,1135411.0,4058880,0,1176.8,886.3,Cluster,SPARC64 IXfx 16C 1.85GHz,Sparc,1848,Linux,Linux,,16,SPARC64 IXfx,PRIMEHPC FX10,Fujitsu Cluster,Custom Interconnect,Tofu interconnect,Eastern Asia,Asia,06/2014
37,36.0,42,36,QUARTETTO,"HA8000-tc HT210/PRIMERGY CX400 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, NVIDIA K20/K20x, Xeon Phi 5110P","Research Institute for Information Technology, Kyushu University",Hitachi/Fujitsu,Japan,2013,Academic,222072,157128,1018000.0,1502236.2,3709056,0,,,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Redhat Enterprise Linux 6,Linux,"NVIDIA K20/K20x, Xeon Phi 5110P",8,Intel Xeon E5 (SandyBridge),HA8000-tc HT210/PRIMERGY CX400 Cluster,Quartetto Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,06/2014
38,32.0,40,24,,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Computational Infrastructure, Australian National University",Fujitsu,Australia,2012,Research,53504,0,978600.0,1112883.0,3290496,561792,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),Fujitsu PRIMERGY CX250 S1,Fujitsu Cluster,Infiniband,Infiniband FDR,Australia and New Zealand,Oceania,06/2014
39,33.0,41,28,Conte,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Purdue University,Hewlett-Packard,United States,2013,Academic,77520,68400,976763.0,1341096.0,1793088,0,510.0,1915.22,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas,06/2014
40,,43,40,Spruce A,"SGI ICE X, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR",AWE,SGI,United Kingdom,2014,Research,44520,0,958734.0,997248.0,3175200,0,855.1,1121.2,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,Linux,,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Northern Europe,Europe,06/2014
41,34.0,40,36,MareNostrum,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Barcelona Supercomputing Center,IBM,Spain,2012,Academic,48896,0,925058.0,1017036.8,0,0,1015.6,910.85,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe,06/2014
42,37.0,37,13,Lomonosov,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR",Moscow State University - Research Computing Center,T-Platforms,Russia,2011,Academic,78660,29820,901900.0,1700210.0,2150399,0,2800.0,322.11,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),T-Platforms T-Blade2,T-Platforms Cluster,Infiniband,Infiniband,Eastern Europe,Europe,06/2014
43,38.0,39,102,AMOS,"BlueGene/Q, Power BQC 16C 1.6GHz, Custom Interconnect",Rensselaer Polytechnic Institute,IBM,United States,2012,Academic,81920,0,894439.0,1048576.0,0,0,410.9,2176.78,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas,06/2014
44,39.0,38,12,HERMIT,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect",HWW/Universitaet Stuttgart,Cray Inc.,Germany,2011,Industry,113472,0,831400.0,1043942.4,3555552,0,,,MPP,Opteron 6276 16C 2.3GHz,AMD x86_64,2300,Cray Linux Environment ,Linux,,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Western Europe,Europe,06/2014
45,,43,45,Faris,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband QDR",Saudi Aramco EXPEC,Hewlett-Packard,Saudi Arabia,2014,Industry,40960,0,816578.6,917504.0,0,0,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,,10,Intel Xeon E5 (IvyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Western Asia,Asia,06/2014
46,40.0,38,14,Sunway Blue Light,"Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR",National Supercomputing Center in Jinan,National Research Center of Parallel Computer Engineering & Technology,China,2011,Research,137200,0,795900.0,1070160.0,3375120,0,1074.0,741.06,Cluster,ShenWei processor SW1600 16C 975MHz,Others,975,Linux,Linux,,16,ShenWei,Sunway BlueLight MPP,Sunway BlueLight MPP,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2014
47,41.0,38,15,Zin,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR",Lawrence Livermore National Laboratory,Cray Inc.,United States,2011,Research,46208,0,773700.0,961126.4,3260400,1630200,924.16,837.19,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas,06/2014
48,42.0,38,16,Tianhe-1A Hunan Solution,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050",National Super Computer Center in Hunan,NUDT,China,2011,Research,53248,28672,771700.0,1342750.72,2200000,0,1155.07,668.1,MPP,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia,06/2014
